"motion" "time" "V1" "V2" "RT" "Correct" "Onset" "Offset" "UK1" "UK2" "UK3" "run" "day" "direction" "response" "RToffset"
0.111 0.22 0 0 0.66138 NA 289.32 289.57 289.93 0.24952 0.36228 3 "003.txt" "left" "left" 0.41186
0.075 0.293 180 180 0.64619 1 293.94 294.25 294.62 0.31615 0.36658 3 "003.txt" "right" "right" 0.33004
0.143 0.341 180 180 0.67012 1 298.07 298.44 298.8 0.36618 0.36655 3 "003.txt" "right" "right" 0.30394
0.081 0.484 0 0 0.81333 1 309.05 309.56 309.93 0.51609 0.36226 3 "003.txt" "left" "left" 0.29724
0.121 0.551 0 0 0.88076 1 314.58 315.16 315.52 0.58278 0.3596 3 "003.txt" "left" "left" 0.29798
0.062 1.69 180 180 2.0556 1 320.33 322.04 322.41 1.7158 0.36833 3 "003.txt" "right" "right" 0.3398
0.681 0.453 180 180 0.75309 1 329.41 329.89 330.25 0.48278 0.3598 3 "003.txt" "right" "right" 0.27031
0.247 0.906 180 180 1.2064 1 334.34 335.27 335.63 0.93262 0.36111 3 "003.txt" "right" "right" 0.27378
0.103 0.588 0 0 0.91165 1 341.01 341.62 341.99 0.6159 0.36712 3 "003.txt" "left" "left" 0.29575
0.075 2.24 180 180 2.6721 NA 347.17 349.44 349.8 2.2656 0.35961 3 "003.txt" "right" "right" 0.4065
0.603 1.25 180 180 1.5955 1 353.73 355.02 355.38 1.2824 0.36684 3 "003.txt" "right" "right" 0.3131
0.033 0.551 180 180 0.8972 1 361.25 361.83 362.19 0.58272 0.36013 3 "003.txt" "right" "right" 0.31448
0.075 1.25 180 180 1.5825 1 368.25 369.53 369.89 1.2826 0.36178 3 "003.txt" "right" "right" 0.2999
0.76 3.3 0 0 3.6709 1 373.3 376.63 376.99 3.3317 0.3665 3 "003.txt" "left" "left" 0.3392
0 1.09 180 0 1.4384 0 380.64 381.76 382.12 1.1159 0.35932 3 "003.txt" "right" "left" 0.3225
0.387 0.964 180 180 1.2889 1 388.49 389.47 389.83 0.98255 0.36217 3 "003.txt" "right" "right" 0.30635
0.033 0.551 0 0 0.91527 1 398.94 399.52 399.88 0.58274 0.36111 3 "003.txt" "left" "left" 0.33253
0.075 0.964 0 0 1.2495 1 10.463 11.39 11.754 0.92615 0.3639 4 "004.txt" "left" "left" 0.32335
0.918 2.93 180 180 3.2804 1 15.838 18.786 19.147 2.9485 0.36078 4 "004.txt" "right" "right" 0.3319
